latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
9.75537,77.6293,367.0,0.39,0.44,2026-08-08,839,N,VIIRS,h,2.0NRT,295.44,10.98,D
9.77946,77.68204,333.54,0.4,0.44,2026-08-08,839,N,VIIRS,n,2.0NRT,296.72,2.63,D
9.75953,77.62386,309.37,0.48,0.65,2026-08-08,2114,N,VIIRS,n,2.0NRT,261.47,0.89,N
8.89835,78.04342,335.75,0.39,0.36,2026-08-09,820,N,VIIRS,n,2.0NRT,298.13,1.95,D
8.90778,77.70798,331.91,0.38,0.36,2026-08-09,820,N,VIIRS,n,2.0NRT,300.39,1.5,D
9.23388,78.68824,333.0,0.4,0.37,2026-08-09,820,N,VIIRS,n,2.0NRT,298.5,2.14,D
9.23726,78.68773,340.37,0.4,0.37,2026-08-09,820,N,VIIRS,n,2.0NRT,299.91,2.14,D
9.25581,78.76631,338.32,0.4,0.37,2026-08-09,820,N,VIIRS,n,2.0NRT,297.49,2.38,D
9.25919,78.76579,331.52,0.4,0.37,2026-08-09,820,N,VIIRS,n,2.0NRT,296.74,1.43,D
9.27793,79.12687,335.7,0.41,0.37,2026-08-09,820,N,VIIRS,n,2.0NRT,300.72,6.85,D
9.30707,78.76228,334.15,0.4,0.37,2026-08-09,820,N,VIIRS,n,2.0NRT,300.15,1.64,D
9.40249,77.86951,344.04,0.39,0.36,2026-08-09,820,N,VIIRS,n,2.0NRT,307.92,8.77,D
9.50695,78.22846,338.61,0.39,0.36,2026-08-09,820,N,VIIRS,n,2.0NRT,304.76,7.49,D
9.55556,77.81236,341.93,0.39,0.36,2026-08-09,820,N,VIIRS,n,2.0NRT,308.12,12.87,D
9.65162,78.06435,337.75,0.39,0.36,2026-08-09,820,N,VIIRS,n,2.0NRT,304.25,3.22,D
9.80894,78.38943,336.39,0.39,0.36,2026-08-09,820,N,VIIRS,n,2.0NRT,302.68,2.49,D
9.83043,78.55554,330.15,0.4,0.37,2026-08-09,820,N,VIIRS,n,2.0NRT,294.59,1.93,D
9.88524,78.29355,335.89,0.39,0.36,2026-08-09,820,N,VIIRS,n,2.0NRT,295.04,19.84,D
9.88578,78.29712,347.52,0.39,0.36,2026-08-09,820,N,VIIRS,n,2.0NRT,298.6,19.84,D
10.70734,79.56654,347.98,0.43,0.38,2026-08-09,820,N,VIIRS,n,2.0NRT,273.54,16.49,D
10.8716,79.0443,352.09,0.41,0.37,2026-08-09,820,N,VIIRS,n,2.0NRT,303.67,10.47,D
10.9494,78.43846,338.87,0.4,0.37,2026-08-09,820,N,VIIRS,n,2.0NRT,302.18,2.47,D
10.96547,78.87568,336.29,0.41,0.37,2026-08-09,820,N,VIIRS,n,2.0NRT,280.52,4.12,D
11.19703,78.23231,336.41,0.4,0.37,2026-08-09,822,N,VIIRS,n,2.0NRT,302.37,5.29,D
12.07076,79.81661,338.9,0.46,0.39,2026-08-09,822,N,VIIRS,n,2.0NRT,297.28,4.54,D
12.71801,77.46906,339.87,0.39,0.36,2026-08-09,822,N,VIIRS,n,2.0NRT,298.49,8.87,D
9.71063,77.60217,307.3,0.46,0.47,2026-08-09,2055,N,VIIRS,n,2.0NRT,290.09,3.01,N
9.71142,77.59763,326.39,0.46,0.47,2026-08-09,2055,N,VIIRS,n,2.0NRT,289.48,3.01,N
9.71238,77.60028,342.1,0.46,0.47,2026-08-09,2055,N,VIIRS,n,2.0NRT,290.56,5.68,N
9.7151,77.60211,318.67,0.46,0.47,2026-08-09,2055,N,VIIRS,n,2.0NRT,289.84,3.01,N
9.71592,77.59735,333.99,0.46,0.47,2026-08-09,2055,N,VIIRS,n,2.0NRT,290.27,3.01,N
9.71691,77.59991,322.27,0.46,0.47,2026-08-09,2055,N,VIIRS,n,2.0NRT,289.49,5.68,N
9.71963,77.60168,307.9,0.46,0.47,2026-08-09,2055,N,VIIRS,n,2.0NRT,288.83,0.83,N
9.71971,77.60912,316.36,0.46,0.47,2026-08-09,2055,N,VIIRS,n,2.0NRT,289.45,1.92,N
9.72057,77.60439,325.17,0.46,0.47,2026-08-09,2055,N,VIIRS,n,2.0NRT,289.69,1.92,N
9.72244,77.61123,314.72,0.46,0.47,2026-08-09,2055,N,VIIRS,n,2.0NRT,289.24,3.78,N
9.72325,77.60651,334.47,0.46,0.47,2026-08-09,2055,N,VIIRS,n,2.0NRT,289.84,3.78,N
9.72415,77.60929,319.58,0.46,0.47,2026-08-09,2055,N,VIIRS,n,2.0NRT,289.29,1.92,N
9.725,77.60458,302.41,0.46,0.47,2026-08-09,2055,N,VIIRS,n,2.0NRT,288.54,1.92,N
10.41551,77.10945,320.29,0.42,0.45,2026-08-09,2055,N,VIIRS,n,2.0NRT,287.16,2.55,N
8.66499,77.87334,340.85,0.54,0.42,2026-08-10,801,N,VIIRS,n,2.0NRT,301.71,6.53,D
8.74038,77.72398,332.77,0.55,0.43,2026-08-10,801,N,VIIRS,n,2.0NRT,301.52,2.94,D
9.11507,77.54341,346.35,0.55,0.43,2026-08-10,801,N,VIIRS,n,2.0NRT,301.99,5.08,D
9.42565,78.80767,336.8,0.47,0.4,2026-08-10,801,N,VIIRS,l,2.0NRT,299.57,8.7,D
9.53488,78.5205,330.49,0.48,0.4,2026-08-10,801,N,VIIRS,l,2.0NRT,300.86,2.49,D
9.65751,78.09645,338.99,0.51,0.41,2026-08-10,801,N,VIIRS,n,2.0NRT,304.84,4.57,D
9.65848,78.09887,336.36,0.51,0.41,2026-08-10,801,N,VIIRS,n,2.0NRT,304.93,5.64,D
9.67706,77.40768,353.93,0.55,0.43,2026-08-10,801,N,VIIRS,n,2.0NRT,300.22,27.78,D
9.70958,77.59943,339.29,0.54,0.42,2026-08-10,801,N,VIIRS,n,2.0NRT,295.83,6.59,D
9.90223,78.1714,335.02,0.5,0.41,2026-08-10,801,N,VIIRS,n,2.0NRT,302.49,2.8,D
10.007,78.03323,355.73,0.51,0.41,2026-08-10,801,N,VIIRS,n,2.0NRT,303.39,19.23,D
10.40051,79.41708,346.89,0.43,0.38,2026-08-10,801,N,VIIRS,n,2.0NRT,298.99,8.13,D
11.73288,79.25768,339.42,0.43,0.38,2026-08-10,801,N,VIIRS,n,2.0NRT,303.89,6.56,D
12.09698,79.78356,346.95,0.41,0.37,2026-08-10,801,N,VIIRS,n,2.0NRT,296.78,8.28,D
12.56739,76.95238,341.37,0.54,0.42,2026-08-10,801,N,VIIRS,n,2.0NRT,296.74,6.39,D
8.69899,78.05886,316.48,0.42,0.38,2026-08-10,2038,N,VIIRS,n,2.0NRT,293.48,1.16,N
9.20653,77.49845,310.68,0.4,0.37,2026-08-10,2038,N,VIIRS,n,2.0NRT,293.23,1.56,N
9.28078,77.39169,329.87,0.4,0.37,2026-08-10,2038,N,VIIRS,n,2.0NRT,291.78,2.94,N
9.52627,77.44958,320.1,0.4,0.37,2026-08-10,2038,N,VIIRS,n,2.0NRT,292.59,3.14,N
9.52684,77.44609,315.95,0.4,0.37,2026-08-10,2038,N,VIIRS,n,2.0NRT,293.58,3.14,N
9.52966,77.44995,337.96,0.4,0.37,2026-08-10,2038,N,VIIRS,n,2.0NRT,293.68,3.14,N
9.53022,77.44653,342.64,0.4,0.37,2026-08-10,2038,N,VIIRS,n,2.0NRT,294.87,3.14,N
9.70315,77.58917,344.88,0.4,0.37,2026-08-10,2038,N,VIIRS,n,2.0NRT,294.0,6.37,N
9.70653,77.58966,309.63,0.4,0.37,2026-08-10,2038,N,VIIRS,n,2.0NRT,292.62,1.61,N
9.71671,77.59083,305.73,0.4,0.37,2026-08-10,2038,N,VIIRS,n,2.0NRT,290.88,1.08,N
9.72326,77.61427,303.75,0.4,0.37,2026-08-10,2038,N,VIIRS,n,2.0NRT,290.64,0.32,N
9.89699,77.68813,321.31,0.4,0.37,2026-08-10,2038,N,VIIRS,n,2.0NRT,290.67,2.01,N
9.90036,77.68868,330.49,0.4,0.37,2026-08-10,2038,N,VIIRS,n,2.0NRT,290.67,2.83,N
9.16179,77.91492,341.92,0.36,0.57,2026-08-11,741,N,VIIRS,n,2.0NRT,272.28,3.53,D
10.83465,78.6193,340.31,0.6,0.53,2026-08-11,744,N,VIIRS,n,2.0NRT,288.36,11.21,D
10.93295,78.50113,335.0,0.6,0.53,2026-08-11,744,N,VIIRS,n,2.0NRT,295.8,2.47,D
10.93614,78.50137,334.18,0.61,0.53,2026-08-11,744,N,VIIRS,n,2.0NRT,295.06,7.51,D
11.65238,79.1266,341.69,0.53,0.5,2026-08-11,744,N,VIIRS,n,2.0NRT,291.4,9.66,D
12.29835,78.21772,331.88,0.6,0.53,2026-08-11,744,N,VIIRS,n,2.0NRT,295.98,3.83,D
9.52184,77.45166,305.29,0.48,0.4,2026-08-11,2017,N,VIIRS,n,2.0NRT,290.26,0.75,N
9.53687,77.45146,318.31,0.48,0.4,2026-08-11,2017,N,VIIRS,n,2.0NRT,290.55,3.07,N
10.61676,77.42188,305.01,0.49,0.4,2026-08-11,2017,N,VIIRS,n,2.0NRT,291.08,0.72,N
10.93105,77.06483,305.29,0.52,0.41,2026-08-11,2017,N,VIIRS,n,2.0NRT,281.43,1.31,N
12.74482,77.6194,297.44,0.51,0.41,2026-08-11,2019,N,VIIRS,n,2.0NRT,278.88,0.42,N
